grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4.txt, '2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15', 8, 646654092, 22.0493, 2.93277e+07
x, dfid, topspin16-4.txt, '0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15', 4, 103166, 0.003583, 2.87932e+07
x, dfid, topspin16-4.txt, '14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15', 4, 78451, 0.002691, 2.91531e+07
x, dfid, topspin16-4.txt, '0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15', 10, 10939618536, 373.854, 2.92618e+07
x, dfid, topspin16-4.txt, '5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15', 8, 113673216, 3.893, 2.91994e+07
x, dfid, topspin16-4.txt, '14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15', na, na, na, na 
x, dfid, topspin16-4.txt, '6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15', 4, 112291, 0.003835, 2.92806e+07
x, dfid, topspin16-4.txt, '5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15', 4, 18493, 0.000636, 2.9077e+07
x, dfid, topspin16-4.txt, '0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15', 4, 95098, 0.003285, 2.89492e+07
x, dfid, topspin16-4.txt, '2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15', 10, 13562595315, 461.785, 2.93699e+07
x, dfid, topspin16-4.txt, '13 11 12 4 3 1 0 2 14 5 6 7 10 9 8 15', 8, 996832261, 33.9554, 2.93571e+07
x, dfid, topspin16-4.txt, '9 7 12 11 13 2 0 14 10 5 4 3 8 1 6 15', na, na, na, na 
x, dfid, topspin16-4.txt, '3 14 8 1 0 2 13 11 7 12 10 4 9 6 5 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15', na, na, na, na 
x, dfid, topspin16-4.txt, '8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15', 6, 2786468, 0.095272, 2.92475e+07
x, dfid, topspin16-4.txt, '6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15', 8, 128337361, 4.38913, 2.92398e+07
x, dfid, topspin16-4.txt, '5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15', na, na, na, na 
x, dfid, topspin16-4.txt, '4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15', 6, 6209452, 0.212271, 2.92525e+07
x, dfid, topspin16-4.txt, '4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15', na, na, na, na 
x, dfid, topspin16-4.txt, '13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15', na, na, na, na 
x, dfid, topspin16-4.txt, '7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15', na, na, na, na 
x, dfid, topspin16-4.txt, '4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15', 6, 1846122, 0.064241, 2.87374e+07
x, dfid, topspin16-4.txt, '14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15', 2, 420, 1.6e-05, 2.625e+07
x, dfid, topspin16-4.txt, '0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15', 4, 99935, 0.003443, 2.90256e+07
x, dfid, topspin16-4.txt, '3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15', 6, 9680981, 0.331736, 2.91828e+07
x, dfid, topspin16-4.txt, '4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15', 4, 67529, 0.002302, 2.93349e+07
